geometryid,geometryacreage,imageid,imagepath,imagedate
29cQ6sj8FngrwD516axwtX,73977,863519,RS2_268038_20220519_UTM14_GS2,2022-05-19T05:00:00.000000
29cQ6sj8FngrwD516axwtX,73977,668142,L8_029029_20220315_UTM14_GS2,2022-03-15T17:11:18.000000
29cQ6sj8FngrwD516axwtX,73977,668251,S2A_T14TQQ_20220315_172131_UTM14_GS2,2022-03-15T17:10:51.000000
29cQ6sj8FngrwD516axwtX,73977,784201,S2A_T14TQQ_20220325_172130_UTM14_GS2,2022-03-25T17:09:41.000000
29cQ6sj8FngrwD516axwtX,73977,867842,GF6_WFV2_1120212709_20220524_174849_UTM15_GS2,2022-05-24T17:48:49.000000
29cQ6sj8FngrwD516axwtX,73977,870938,GF6_WFV3_1120214201_20220529_181015_UTM14_GS2,2022-05-29T18:10:15.000000
29cQ6sj8FngrwD516axwtX,73977,870940,GF6_WFV3_1120214204_20220529_180939_UTM14_GS2,2022-05-29T18:09:39.000000
29cQ6sj8FngrwD516axwtX,73977,563670,S2B_T14TQQ_20211021_172129_UTM14_GS2,2021-10-21T17:13:39.000000
29cQ6sj8FngrwD516axwtX,73977,563011,S2A_T14TQQ_20211019_173129_UTM14_GS2,2021-10-19T17:23:41.000000
29cQ6sj8FngrwD516axwtX,73977,561163,L8_028029_20211015_UTM15_GS2,2021-10-15T17:05:37.000000
29cQ6sj8FngrwD516axwtX,73977,563033,RS2_268038_20211015_UTM14_GS2,2021-10-15T05:00:00.000000
29cQ6sj8FngrwD516axwtX,73977,563030,RS2_268037_20211015_UTM15_GS2,2021-10-15T05:00:00.000000
29cQ6sj8FngrwD516axwtX,73977,560931,S2B_T14TQQ_20211014_173125_UTM14_GS2,2021-10-14T17:22:59.000000
29cQ6sj8FngrwD516axwtX,73977,489207,S2B_T14TQQ_20210504_172125_UTM14_GS2,2021-05-04T17:08:49.000000
29cQ6sj8FngrwD516axwtX,73977,487847,RS2_267038_20210425_UTM14_GS2,2021-04-25T05:00:00.000000
29cQ6sj8FngrwD516axwtX,73977,483859,S2B_T14TQQ_20210417_173119_UTM14_GS2,2021-04-17T17:18:49.000000
29cQ6sj8FngrwD516axwtX,73977,480080,L8_028029_20210406_UTM15_GS2,2021-04-06T17:04:56.000000
29cQ6sj8FngrwD516axwtX,73977,481213,RS2_268037_20210406_UTM15_GS2,2021-04-06T05:00:00.000000
29cQ6sj8FngrwD516axwtX,73977,481209,RS2_268038_20210406_UTM14_GS2,2021-04-06T05:00:00.000000
29cQ6sj8FngrwD516axwtX,73977,479227,RS2_267038_20210401_UTM14_GS2,2021-04-01T05:00:00.000000
1arBje7ybsvDnU2NCb3Tnj,512931,540372,S2B_T15TXE_20210826_170230_UTM15_GS2,2021-08-26T16:48:39.000000
29cQ6sj8FngrwD516axwtX,73977,479226,RS2_267037_20210401_UTM14_GS2,2021-04-01T05:00:00.000000
29cQ6sj8FngrwD516axwtX,73977,476618,S2B_T14TQQ_20210325_172126_UTM14_GS2,2021-03-25T17:08:49.000000
29cQ6sj8FngrwD516axwtX,73977,475525,L8_028029_20210321_UTM15_GS2,2021-03-21T17:05:00.000000
29cQ6sj8FngrwD516axwtX,73977,475257,S2A_T14TQQ_20210320_172126_UTM14_GS2,2021-03-20T17:10:11.000000
29cQ6sj8FngrwD516axwtX,73977,457402,L8_029029_20201120_UTM14_GS2,2020-11-20T17:11:41.000000
29cQ6sj8FngrwD516axwtX,73977,430242,S2A_T14TQQ_20200901_172132_UTM14_GS2,2020-09-01T17:09:01.000000
29cQ6sj8FngrwD516axwtX,73977,427267,L8_028029_20200825_UTM15_GS2,2020-08-25T17:05:18.000000
29cQ6sj8FngrwD516axwtX,73977,424968,S2B_T14TQQ_20200820_173128_UTM14_GS2,2020-08-20T17:18:59.000000
29cQ6sj8FngrwD516axwtX,73977,423533,DE00AA21_000000_016150_P_20200814_UTM14_GS2,2020-08-14T15:01:50.000000
29cQ6sj8FngrwD516axwtX,73977,421441,GF6_WFV2_1120025276_20200810_174704_UTM14_GS2,2020-08-10T17:47:04.000000
29cQ6sj8FngrwD516axwtX,73977,418779,RS2_267037_20200804_UTM14_GS2,2020-08-04T00:00:00.000000
29cQ6sj8FngrwD516axwtX,73977,418775,RS2_267038_20200804_UTM14_GS2,2020-08-04T00:00:00.000000
29cQ6sj8FngrwD516axwtX,73977,411556,GF6_WFV1_1120016736_20200716_173708_UTM15_GS2,2020-07-16T17:37:08.000000
29cQ6sj8FngrwD516axwtX,73977,408381,S2A_T14TQQ_20200713_172132_UTM14_GS2,2020-07-13T17:09:01.000000
29cQ6sj8FngrwD516axwtX,73977,406000,L8_028029_20200708_UTM15_GS2,2020-07-08T17:05:02.000000
29cQ6sj8FngrwD516axwtX,73977,402514,DE00A8A9_019550_039600_P_20200627_UTM14_GS2,2020-06-27T15:07:57.000000
29cQ6sj8FngrwD516axwtX,73977,401205,S2A_T14TQQ_20200626_173129_UTM14_GS2,2020-06-26T17:19:01.000000
29cQ6sj8FngrwD516axwtX,73977,400458,DE00A88B_000000_020000_S_20200623_UTM15_GS2,2020-06-23T14:51:37.000000
29cQ6sj8FngrwD516axwtX,73977,396878,GF1_WFV1_4863351_20200611_172140_UTM15_GS2,2020-06-11T17:21:40.000000
29cQ6sj8FngrwD516axwtX,73977,391351,GF6_WFV2_1120001986_20200528_174122_UTM14_GS2,2020-05-28T17:41:22.000000
29cQ6sj8FngrwD516axwtX,73977,389359,L8_029029_20200528_UTM14_GS2,2020-05-28T17:10:50.000000
29cQ6sj8FngrwD516axwtX,73977,378801,L8_029029_20200426_UTM14_GS2,2020-04-26T17:10:53.000000
29cQ6sj8FngrwD516axwtX,73977,375965,S2B_T14TQQ_20200422_173118_UTM14_GS2,2020-04-22T17:18:49.000000
29cQ6sj8FngrwD516axwtX,73977,375790,DE00A6F8_012950_026650_S_20200419_UTM14_GS2,2020-04-19T15:02:57.000000
29cQ6sj8FngrwD516axwtX,73977,348233,RS2_268038_20191119_UTM14_GS2,2019-11-18T18:00:00.000000
29cQ6sj8FngrwD516axwtX,73977,328095,L8_028029_20190924_UTM15_GS2,2019-09-24T17:05:31.000000
29cQ6sj8FngrwD516axwtX,73977,325537,S2A_T14TQQ_20190917_172127_UTM14_GS2,2019-09-17T17:09:41.000000
29cQ6sj8FngrwD516axwtX,73977,322707,S2A_T14TQQ_20190910_173122_UTM14_GS2,2019-09-10T17:19:01.000000
29cQ6sj8FngrwD516axwtX,73977,317603,L8_029029_20190830_UTM14_GS2,2019-08-30T17:11:34.000000
29cQ6sj8FngrwD516axwtX,73977,307539,L8_028029_20190807_UTM15_GS2,2019-08-07T17:05:17.000000
29cQ6sj8FngrwD516axwtX,73977,305529,S2B_T14TQQ_20190803_172135_UTM14_GS2,2019-08-03T17:08:59.000000
29cQ6sj8FngrwD516axwtX,73977,306399,DE00A179P_20190803_UTM14_GS2,2019-08-03T15:40:44.000000
29cQ6sj8FngrwD516axwtX,73977,302129,S2B_T14TQQ_20190727_173132_UTM14_GS2,2019-07-27T17:19:09.000000
29cQ6sj8FngrwD516axwtX,73977,302605,DE00A14A_014150_029050_P_20190727_UTM14_GS2,2019-07-27T15:37:43.000000
29cQ6sj8FngrwD516axwtX,73977,300559,S2B_T14TQQ_20190724_172136_UTM14_GS2,2019-07-24T17:08:59.000000
29cQ6sj8FngrwD516axwtX,73977,299665,L8_028029_20190722_UTM15_GS2,2019-07-22T17:05:11.000000
29cQ6sj8FngrwD516axwtX,73977,298187,S2A_T14TQQ_20190719_172133_UTM14_GS2,2019-07-19T17:09:01.000000
29cQ6sj8FngrwD516axwtX,73977,300036,UK02_SL6_22S_1T_20190719T133649_20190719T133739_DMC_0_20190719_UTM15_GS2,2019-07-19T13:37:14.000000
29cQ6sj8FngrwD516axwtX,73977,298379,RS2_267038_20190717_UTM14_GS2,2019-07-17T00:00:00.000000
29cQ6sj8FngrwD516axwtX,73977,298375,RS2_267037_20190717_UTM14_GS2,2019-07-17T00:00:00.000000
29cQ6sj8FngrwD516axwtX,73977,297868,UK02_SL6_22S_1T_20190716T134719_20190716T134809_DMC_0_20190716_UTM14_GS2,2019-07-16T13:47:44.000000
29cQ6sj8FngrwD516axwtX,73977,296064,S2B_T14TQQ_20190714_172136_UTM14_GS2,2019-07-14T17:08:59.000000
29cQ6sj8FngrwD516axwtX,73977,295588,L8_029029_20190713_UTM14_GS2,2019-07-13T17:11:19.000000
29cQ6sj8FngrwD516axwtX,73977,296401,DE00A0D9S_20190713_UTM14_GS2,2019-07-13T15:30:34.000000
29cQ6sj8FngrwD516axwtX,73977,294390,DE00A0C0_018650_037800_P_20190710_UTM14_GS2,2019-07-10T15:42:54.000000
29cQ6sj8FngrwD516axwtX,73977,292561,L8_028029_20190706_UTM15_GS2,2019-07-06T17:05:07.000000
29cQ6sj8FngrwD516axwtX,73977,291968,UK02_SL6_22P_1T_20190703T135947_20190703T140037_DMC_0_20190703_UTM14_GS2,2019-07-03T14:00:12.000000
29cQ6sj8FngrwD516axwtX,73977,287414,DE00A03B_000000_023250_P_20190626_UTM15_GS2,2019-06-26T15:36:17.000000
29cQ6sj8FngrwD516axwtX,73977,289255,RS2_267037_20190623_UTM14_GS2,2019-06-23T00:00:00.000000
29cQ6sj8FngrwD516axwtX,73977,285051,DE009FF4S_20190619_UTM14_GS2,2019-06-19T15:32:40.000000
29cQ6sj8FngrwD516axwtX,73977,283678,DE009FD7P_20190616_UTM14_GS2,2019-06-16T15:45:00.000000
29cQ6sj8FngrwD516axwtX,73977,281906,S2B_T14TQQ_20190614_172135_UTM14_GS2,2019-06-14T17:08:59.000000
29cQ6sj8FngrwD516axwtX,73977,282094,DE009F8B_015500_039600_P_20190609_UTM14_GS2,2019-06-09T15:40:34.000000
29cQ6sj8FngrwD516axwtX,73977,278066,S2B_T14TQQ_20190604_172136_UTM14_GS2,2019-06-04T17:08:59.000000
29cQ6sj8FngrwD516axwtX,73977,278052,L8_028029_20190604_UTM15_GS2,2019-06-04T17:04:57.000000
